,word,freq
987,respect,10
1547,painful,9
308,exact,9
5709,thinks,9
1643,examination,9
3231,“so,9
3750,resolute,9
5960,consult,9
5613,shown,9
4617,decided,9
11700,gypsies,9
3739,park,9
2932,puzzled,9
1384,curious,9
2579,forces,9
133,chosen,9
1972,court,9
1749,rejoiced,9
2175,plans,9
545,natural,9
2483,king,9
722,st,9
146,3,9
3896,i’ll,9
1351,lonely,9
3846,doesn’t,9
2974,sunlight,9
3643,blew,9
846,listened,9
6307,weakness,9
5063,talked,9
1519,scream,9
6743,’im,9
693,mysterious,9
65,westenra’s,9
3065,draw,9
9342,equal,9
3966,avoid,9
7778,lesson,9
4001,accident,9
5602,utmost,9
1300,stranger,9
3933,won,9
10509,child-brain,9
5137,reported,9
2660,goods,9
1305,deceive,9
2899,nerves,9
4057,abbey,9
603,double,9
1196,level,9
6186,blow,9
5048,arrival,9
2076,awhile,9
2028,list,9
1326,travel,9
1633,adventure,9
2100,generally,9
2862,efforts,9
3840,ear,9
11387,launch,9
7902,copy,9
2011,customs,9
2080,sorry,9
1626,bell,9
3037,animal,9
5938,hillingham,9
254,carpathians,9
6292,“if,9
3974,instinct,9
416,hurry,9
4988,wood,9
2042,rush,9
773,“for,9
1255,sigh,9
1477,disturbed,9
1439,extraordinary,9
1944,hot,9
3046,one’s,9
5192,armed,9
6249,“this,9
3610,cases,9
1445,narrow,9
6272,hers,9
2248,amount,9
6250,transfusion,9
4579,difficult,9
3414,worst,9
3343,becoming,9
4816,usually,9
2425,helpless,9
585,directed,9
4459,keeps,9
1453,rocks,9
7316,treated,9
5776,renfield’s,9
2419,conviction,9
6044,arrange,9
1457,rising,9
746,raise,9
6068,reality,9
5471,tiny,9
1952,servants,9
2193,probably,9
2355,vague,9
3078,lines,9
2474,especially,9
798,distant,9
4339,“to,9
6491,maids,9
6237,spiritual,9
377,comfortable,9
2204,required,9
420,ought,9
1247,rays,9
623,message,9
5218,greatly,9
1456,shelter,9
5620,disturb,9
2796,cheer,9
4386,i’ve,9
766,meaning,9
620,harker.”,8
3152,surmise,8
3698,diaries,8
1095,ordinary,8
3660,creaking,8
2030,hoped,8
4945,realised,8
3156,tones,8
1256,gladness,8
4621,edges,8
2827,creature,8
5445,suffer,8
6255,eager,8
1133,produced,8
6413,"me,”",8
5434,obedience,8
1919,feelings,8
2863,forced,8
11149,criminal,8
1752,spread,8
2755,“let,8
2736,billington,8
5761,strike,8
2866,former,8
7304,sons,8
5546,restore,8
4613,concerned,8
5897,“they,8
1236,thunder,8
7581,proceed,8
2787,nerve,8
2880,clung,8
1914,music,8
1662,chains,8
1885,firm,8
273,library,8
1104,seated,8
2850,pull,8
5430,realise,8
6273,her.”,8
709,engaged,8
5100,missing,8
2713,bearing,8
1291,hide,8
5912,ones,8
1691,gesture,8
1939,awoke,8
1638,explain,8
1287,driven,8
4603,loss,8
5537,affair,8
5289,sleep-walking,8
4422,nine,8
4793,absolute,8
4468,cheerfully,8
3165,occur,8
2228,mentioned,8
3417,hereafter,8
6037,d,8
765,refuse,8
6978,darling,8
1185,ahead,8
2429,ideas,8
3420,building,8
3589,exhausted,8
4544,saved,8
5831,coat,8
6062,brows,8
1367,strangely,8
2225,twenty,8
1354,shoulders,8
2439,brains,8
7748,ere,8
1825,faithful,8
6075,particular,8
2447,assured,8
3302,24,8
4730,coastguard,8
3431,filled,8
4318,sounds,8
2471,suspicion,8
7745,hampstead,8
1604,daylight,8
5171,busy,8
11256,wi’,8
3875,wasn’t,8
5091,torn,8
4034,“yours,8
4161,horse,8
2329,warm,8
5459,wrist,8
2302,previous,8
4698,expect,8
3392,spot,8
3792,injured,8
3389,25,8
2350,slightly,8
1416,fright,8
1418,sharper,8
1802,join,8
7481,rare,8
5825,mortal,8
2381,it!”,8
467,sweep,8
998,foreign,8
2398,stairs,8
212,among,8
916,yard,8
3366,raising,8
3595,similar,8
3786,truly,8
7981,hunt,8
3277,pointing,8
799,horizon,8
7427,address,8
1232,overhead,8
1396,howl,8
3014,“go,8
7061,faces,8
7064,showing,8
4025,he’s,8
4997,accurate,8
3207,stole,8
705,language,8
3021,agony,8
3200,frighten,8
2087,“yes,8
1074,kneeling,8
5324,attempt,8
1584,main,8
2074,peter,8
1868,eyebrows,8
5866,privilege,8
2066,content,8
4095,mile,8
2642,local,8
2056,them.”,8
7095,ours,8
2649,sought,8
4483,gets,8
4227,nigh,8
3832,miserable,8
1543,peculiar,8
3854,funny,8
2153,“because,8
419,eight,8
2513,peoples,8
2938,etc,8
1521,ceased,8
1843,experienced,8
4550,pillow,8
2536,thousands,8
5661,sister,8
2501,bore,8
3621,hid,8
1539,horrors,8
3455,odour,8
2946,future,8
1350,chill,8
6117,“all,8
99,manifest,7
5811,hint,7
6402,doctors,7
1882,chin,7
5803,strait-waistcoat,7
6335,examined,7
2960,gentle,7
1887,hitherto,7
4067,bay,7
3634,downstairs,7
4826,officers,7
3630,voices,7
2930,madness,7
3606,rid,7
5808,murder,7
1169,moment’s,7
1849,smoke,7
8331,leaden,7
1395,suspense,7
1142,earlier,7
1018,bringing,7
2469,meantime,7
3989,influence,7
2181,studied,7
2177,interested,7
2490,race,7
2491,proud,7
1038,companions,7
2164,“tell,7
2156,appear,7
2151,gums,7
7025,knocked,7
2528,“is,7
1048,“look,7
3982,physical,7
6696,bloomin’,7
2457,whenever,7
2446,laying,7
7053,helped,7
2434,trusted,7
357,superstition,7
354,settled,7
353,century,7
2291,examining,7
2369,“take,7
5671,fever,7
2272,waters,7
2264,bones,7
2402,touching,7
2409,describe,7
2415,prisoner,7
783,ghostly,7
5677,pay,7
586,golden,7
8644,hammer,7
3816,brute,7
7058,stertorous,7
544,wanting,7
5763,escaped,7
4807,boats,7
5548,silently,7
6502,bundle,7
726,midnight,7
2776,imagine,7
9807,active,7
1959,wrought,7
2802,mistake,7
1935,rested,7
6464,attended,7
